Crop ,Group Name,Botanical Name,Family,Climatic Feature ,Nutritional Value,Area '000 Ha,Production '000 MT,Perils,Nutrient,menu_image,profile_image
lemon / mandrin / sweet orange,Fruits,citrus sps.,rutaceae,"Citrus fruits have a prominent place among popular, extensively grown tropical and subtropical fruits. Subtropical 500-1500 m MSL elevation. A rainfall of about 150 cm to 250 cm is required. A medium or light loam with a pH 5.5 to 6.5 would be ideal to grow.",Citrus fruits contain considerable amounts of Vitamin C. Fruits are also good source of Vitamin and P. The mild bitterness in juice is due to the presence of glucoside called Naringin which is said to have a medicinal value. The rind of the citrus fruits is rich in pectin and essential oils.,286,3148,,,lemon-m.png,lemon-p.png
grape,Fruits,vitis vinifera,vitaceae,"It is a fruit of semi arid subtropical regions requiring warm dry summer and a cool rainy winter. During winter the grapes shed off their leaves and take rest. During spring they put forth new leaves and flowers. The fruits mature during summer when there is no rains. A long, warm to hot dry summer is needed for proper maturity and ripening. Grapes do not thrive in the region
of humid summer as it causes fungal diseases.Temperatures above 1000C to 4000C influence the yield and quality. Well – drained rich loamy soil with pH of 6.5-7.0. Soil depth should be almost 1 m.",,139,2920,,,grape-m.png,grape-p.png
banana,Fruits,musa  paradisiaca,scitaminae,"Banana is one of the oldest fruit known to mankind and also important food for man.Its is also called as ‘Apple of paradise’. Humid tropic plant. Temperature range of 10°C to 40°C with an average of 23°C. Deep well – drained soil with abundant organic matter.
Depth – one meter
Soil pH: 5.5 – 8.0 found to be optimum.","Rich source of energy (137 K. Ca/100g)
It is a good laxative.",884,30808,,,banana-m.png,banana-p.png
custard apple,Fruits,annona squamosa,,"A warm climate (not very hot) with high humidity and milld winter will be the ideal climatic condition for the best growth.An annual rainfall of 500-750 mm is adequate ofr growth and fruiting.Annonas can be grown in varied soil right from heavy claly upto sandy one. They can also be grown on rocky, marginal and even waste lands. However for best yield, a well drained fertile soil with neutral pH will be ideal. The plants are shallow rooted anod hence a deep soil is not necessary. They can be grown on slightly alkaline soil and with irrigation water having slight higher pH and salinity.",,46,401,,,custardapple-m.png,custard apple-p.png
watermelon,Fruits,citrullus lanatus,cucurbitaceae,"Water melon is a warm season crop. It cannot tolerate high cold and frost. It requires a minimum of 180C temperature for seed germination and 240to 270 C for growth and development. There should be high temperature at the time of ripening for producing good quality fruits.Watermelon require sandy to sandy loam soil for an early and good crop.Soil should be well drained.Alluvial river beds are good for production of water melon.Soil pH: 6.7 to 7. Varieties like Jobner – 21, Jobner 18-1 are
capable of growing on high pH soil.",Water melon contains 95% of water and is a richest iron containing cucurbitaceous crop.,101,2520,,,watermelon-m.png,watermelon-p.png
ber,Fruits,zizyphus mauritiana,rhamnaceae,India ber Zizyphus mauritiana is to grow in tropical.Ber is an ideal fruit tree for arid and semiarid regions where copious irrigation is impossible. It can tolerate a high temperature of even 400C.But below freezing temperature is injurious.It can be grown in an extreme moisture stress and in a wide range of soil upto an infertile one which is unsuitable for major fruits and other crops.,"Ber has  5.4-8.0% sugar and 85-95 mg of Ascorbic
acid (Vit. C) per 100g.",50,513,,,ber-m.png,ber-p.png
guava,Fruits,psidium guajava,myrtaceae,"It is a hardy fruit which can be grown in poor alkaline or poorly drained soils without any
manuring or irrigation. It can grow in soils with pH ranging from 4.5 to 7.5 but the best soils are
deep, friable and well drained. It is a subtropical and tropical fruit which requires a distinct
winter for developing good quality.",It is very rich and cheap source of vitamin C (100 to 260 mg per 100 gm of the pulp) and contains a fair amount of calcium. It makes an excellent jelly and does not lose the vitamin C in the preserved forms.,265,4054,,,guava-m.png,guava-p.png
jackfruit,Fruits,artocarpus heterophyllus,mulberry ,"Jack grows well and gives food yield in warm humid climate of hill slopes and hot humid
climate of plains. From sea level upto an elevation of 1200 M jack can be grown successfully. A
temperature range of 220-350 C will be ideal. It can bot tolerate frost as well as drought. Under
low humidity the bearing is poor and the fruits also do not develop and taste.Though it tolerates a variety of soils,a deep rich alluvial or open textured loamy soil with slightly acidic condition (pH 6.0 – 6.5) and perfect drainage is ideal.","The fleshy carpel (which is botanically the perianth) is the edible portion. Hundred gram edible portion contains 19.8g carbohydrate mainly as sugars, 1.9f protein, 0.1f fat, 1.1 g fibre, 20 mg calium, 41 mg phosphorus 0.56 mg iron, 175 mg carotene (Vit. A), 0.03 mg thiamine, 0.13 mg riboflavin, 0.4mg niacin and 7 mg vitamin C.",185,1830,,,jackfruit-m.png,jackfruit-p.png
mango,Fruits,mangifera indica,anacardiaceae,"Mango can be grown on a wide variety of soils under varied climatic conditions. It can be
grown from alluvial to lateritic soils except in black cotton soil having poor drainage. It grows
well in soils with slightly acidic pH. It does not perform well in soils having pH beyond 7.5.
Soils having good drainage are ideal for mango.The temperature between 24
and 27°C is ideal for its cultivation. Higher temperature during fruit development and maturity
gives better-quality fruits."," Mangos contain over 20 different vitamins and minerals, helping to make them a superfood. 3/4 cup of mango provides 50% of our daily vitamin C, 8% of Vitamin A and 8% of  vitamin B6.",2258,21822,,,mango-m.png,mango-p.png
muskmelon,Fruits,cucumis melo,cucurbitaceae,"It requires hot and dry climate. Optimum temperature 27 to 300C. short days promote female flowers. High temperature, low humidity, plenty of sun shine are essential for proper ripening, high sugar content. Plants are sensitive to low temperature and frost.it requires sandy soils. Loamy soils are good. Preferable pH 6 to 6.8. soil should be rich in organic manure, proper drainage facility.",,54,1231,,,muskmelon-m.png,muskmelon-p.png
